product_category_name,product_category_name_english,fragile,compressible,special
beleza_saude,health_beauty,N,N,N
informatica_acessorios,computers_accessories,Y,N,N
automotivo,auto,N,N,N
cama_mesa_banho,bed_bath_table,N,N,N
moveis_decoracao,furniture_decor,Y,N,N
esporte_lazer,sports_leisure,N,N,N
perfumaria,perfumery,Y,N,N
utilidades_domesticas,housewares,Y,N,N
telefonia,telephony,Y,N,N
relogios_presentes,watches_gifts,Y,N,N
alimentos_bebidas,food_drink,Y,N,Y
bebes,baby,N,U,N
papelaria,stationery,N,N,N
tablets_impressao_imagem,tablets_printing_image,N,N,N
brinquedos,toys,N,N,N
telefonia_fixa,fixed_telephony,N,N,N
ferramentas_jardim,garden_tools,N,N,N
fashion_bolsas_e_acessorios,fashion_bags_accessories,N,Y,N
eletroportateis,small_appliances,Y,N,N
consoles_games,consoles_games,Y,N,N
audio,audio,N,N,N
fashion_calcados,fashion_shoes,N,N,N
cool_stuff,cool_stuff,U,U,N
malas_acessorios,luggage_accessories,N,N,N
climatizacao,air_conditioning,N,N,N
construcao_ferramentas_construcao,construction_tools_construction,N,N,N
moveis_cozinha_area_de_servico_jantar_e_jardim,kitchen_dining_laundry_garden_furniture,N,N,N
construcao_ferramentas_jardim,costruction_tools_garden,N,N,N
fashion_roupa_masculina,fashion_male_clothing,N,Y,N
pet_shop,pet_shop,N,N,N
moveis_escritorio,office_furniture,N,N,N
market_place,market_place,N,N,N
eletronicos,electronics,Y,N,N
eletrodomesticos,home_appliances,N,N,N
artigos_de_festas,party_supplies,Y,N,N
casa_conforto,home_confort,N,N,N
construcao_ferramentas_ferramentas,costruction_tools_tools,N,N,N
agro_industria_e_comercio,agro_industry_and_commerce,N,N,Y
moveis_colchao_e_estofado,furniture_mattress_and_upholstery,N,Y,N
livros_tecnicos,books_technical,N,N,N
casa_construcao,home_construction,N,N,N
instrumentos_musicais,musical_instruments,Y,N,N
moveis_sala,furniture_living_room,N,N,N
construcao_ferramentas_iluminacao,construction_tools_lights,N,N,N
industria_comercio_e_negocios,industry_commerce_and_business,N,N,Y
alimentos,food,Y,N,Y
artes,art,Y,N,N
moveis_quarto,furniture_bedroom,N,N,N
livros_interesse_geral,books_general_interest,N,N,N
construcao_ferramentas_seguranca,construction_tools_safety,N,N,N
fashion_underwear_e_moda_praia,fashion_underwear_beach,N,Y,N
fashion_esporte,fashion_sport,N,Y,N
sinalizacao_e_seguranca,signaling_and_security,N,N,N
pcs,computers,Y,N,N
artigos_de_natal,christmas_supplies,N,N,N
fashion_roupa_feminina,fashio_female_clothing,N,Y,N
eletrodomesticos_2,home_appliances_2,N,N,N
livros_importados,books_imported,N,N,N
bebidas,drinks,Y,N,N
cine_foto,cine_photo,N,U,N
la_cuisine,la_cuisine,U,U,N
musica,music,U,N,N
casa_conforto_2,home_comfort_2,N,N,N
portateis_casa_forno_e_cafe,small_appliances_home_oven_and_coffee,U,N,N
cds_dvds_musicais,cds_dvds_musicals,N,N,N
dvds_blu_ray,dvds_blu_ray,N,N,N
flores,flowers,Y,N,N
artes_e_artesanato,arts_and_craftmanship,N,N,N
fraldas_higiene,diapers_and_hygiene,N,N,N
fashion_roupa_infanto_juvenil,fashion_childrens_clothes,N,Y,N
seguros_e_servicos,security_and_services,N,N,N
pc_gamer,pc_gaming,Y,N,N
portateis_cozinha_e_preparadores_de_alimentos,portable_kitchen_and_food_preparers,N,N,N
